n_over_m,sparsity,frequency,condition,seed,feature,importance,imp_rank,w_norm,D_i,I_i,late_top1evr,late_pr
8,0.8,0.2,input_at,0,23,0.7091898322105408,23,0.4128880500793457,0.032579705119132996,0.2180386483669281,0.32212284207344055,4.6051130294799805
8,0.8,0.2,input_at,0,24,0.6382707953453064,24,0.5147823691368103,0.04389343410730362,0.2025802880525589,0.30125924944877625,4.668225288391113
8,0.8,0.2,input_at,0,26,0.5169993042945862,26,0.5197350382804871,0.030628295615315437,0.24177739024162292,0.3066360652446747,4.692176342010498
8,0.8,0.2,input_at,0,27,0.4652993679046631,27,0.9384257793426514,0.09582582861185074,0.24629199504852295,0.3021947145462036,4.70698881149292
8,0.8,0.2,input_at,0,28,0.4187694489955902,28,0.353842556476593,0.013006611727178097,0.27667245268821716,0.29513421654701233,4.660200119018555
8,0.8,0.2,input_at,0,29,0.37689247727394104,29,0.43595537543296814,0.02542809769511223,0.23717451095581055,0.3048577904701233,4.664270877838135
8,0.8,0.2,input_at,0,30,0.33920323848724365,30,0.5094611048698425,0.028610149398446083,0.1872953176498413,0.3180848956108093,4.641047477722168
8,0.8,0.2,input_at,0,31,0.3052828907966614,31,0.4363837242126465,0.028251152485609055,0.23532891273498535,0.3034367561340332,4.6806464195251465
8,0.8,0.2,input_at,0,32,0.2747545838356018,32,0.658645749092102,0.04859497398138046,0.2763001620769501,0.3072487711906433,4.704312324523926
8,0.8,0.2,input_at,0,33,0.2472791224718094,33,0.7600302696228027,0.055123697966337204,0.2596610486507416,0.3035881221294403,4.687723159790039
8,0.8,0.2,input_at,0,34,0.22255121171474457,34,0.4644586741924286,0.03752894699573517,0.21918533742427826,0.3026106655597687,4.679577350616455
8,0.8,0.2,input_at,0,35,0.2002960741519928,35,0.6005052924156189,0.07012733072042465,0.17793947458267212,0.3145269453525543,4.618159770965576
8,0.8,0.2,input_at,0,36,0.18026646971702576,36,0.3614577054977417,0.015341590158641338,0.2250693142414093,0.3070736527442932,4.6165337562561035
8,0.8,0.2,input_at,0,37,0.16223981976509094,37,0.46877437829971313,0.021691080182790756,0.23807071149349213,0.3154735267162323,4.6379594802856445
8,0.8,0.2,input_at,0,38,0.14601582288742065,38,0.5542147159576416,0.04625510424375534,0.2430163472890854,0.3008924126625061,4.757274627685547
8,0.8,0.2,input_at,0,39,0.1314142495393753,39,0.5315569639205933,0.03330880030989647,0.24379682540893555,0.29502391815185547,4.738468170166016
8,0.8,0.2,input_at,0,40,0.1182728186249733,40,0.34997302293777466,0.01433939766138792,0.2421955168247223,0.3041113317012787,4.6355977058410645
8,0.8,0.2,input_at,0,42,0.09580098092556,42,0.5479183197021484,0.03362281620502472,0.2603611946105957,0.29821524024009705,4.77361536026001
8,0.8,0.2,input_at,0,43,0.0862208753824234,43,0.4232568144798279,0.019338566809892654,0.2647256553173065,0.30397775769233704,4.734674453735352
8,0.8,0.2,input_at,0,44,0.07759878784418106,44,0.4162212014198303,0.01998356357216835,0.22926031053066254,0.2948487102985382,4.690261363983154
8,0.8,0.2,input_at,0,45,0.06983890384435654,45,0.6438407301902771,0.05391957238316536,0.23630598187446594,0.29231807589530945,4.749050140380859
8,0.8,0.2,input_at,0,46,0.06285501271486282,46,0.6607601046562195,0.05046996846795082,0.24754688143730164,0.29674288630485535,4.768526077270508
8,0.8,0.2,input_at,0,48,0.050912562757730484,48,0.4900493919849396,0.04804759845137596,0.18747760355472565,0.30690112709999084,4.65740442276001
8,0.8,0.2,input_at,0,50,0.041239168494939804,50,0.9617173075675964,0.10564300417900085,0.23265674710273743,0.3132011592388153,4.595959186553955
8,0.8,0.2,input_at,0,51,0.03711525350809097,51,0.8542900085449219,0.09545722603797913,0.24206604063510895,0.30195772647857666,4.805964469909668
8,0.8,0.2,input_at,0,52,0.033403728157281876,52,0.9915556907653809,0.1141035333275795,0.2461117058992386,0.297530859708786,4.742753505706787
8,0.8,0.2,input_at,0,53,0.03006335347890854,53,0.4963937997817993,0.02921076864004135,0.23907175660133362,0.29625755548477173,4.70581579208374
8,0.8,0.2,input_at,0,54,0.027057018131017685,54,0.4822984039783478,0.03390561789274216,0.20064084231853485,0.30582937598228455,4.691385269165039
8,0.8,0.2,input_at,0,55,0.024351315572857857,55,0.5230557322502136,0.0307165440171957,0.23721791803836823,0.30701202154159546,4.686172008514404
8,0.8,0.2,input_at,0,56,0.021916182711720467,56,0.42828017473220825,0.024629153311252594,0.24842168390750885,0.29203152656555176,4.72331428527832
8,0.8,0.2,input_at,0,57,0.019724562764167786,57,0.3523240089416504,0.015333279967308044,0.1993585228919983,0.29757314920425415,4.7231879234313965
8,0.8,0.2,input_at,0,58,0.017752105370163918,58,0.7139749526977539,0.08311604708433151,0.21458345651626587,0.3146772086620331,4.640203475952148
8,0.8,0.2,input_at,0,59,0.01597689650952816,59,1.2464264631271362,0.16276605427265167,0.20950962603092194,0.30577197670936584,4.674508094787598
8,0.8,0.2,input_at,0,60,0.01437920518219471,60,0.3461645245552063,0.025278031826019287,0.1715279221534729,0.2964801490306854,4.707887172698975
8,0.8,0.2,input_at,0,61,0.012941285036504269,61,0.6058327555656433,0.05310914292931557,0.19609972834587097,0.323266863822937,4.556674003601074
8,0.8,0.2,input_at,0,62,0.011647156439721584,62,0.3281005918979645,0.012305190786719322,0.22270680963993073,0.31112101674079895,4.67810583114624
8,0.8,0.2,input_at,0,65,0.008490776643157005,65,0.49727076292037964,0.045263536274433136,0.18267643451690674,0.30557695031166077,4.691509246826172
8,0.8,0.2,input_at,0,66,0.007641698233783245,66,0.5868642926216125,0.046782366931438446,0.21630685031414032,0.30432742834091187,4.7626633644104
8,0.8,0.2,input_at,0,67,0.006877528503537178,67,0.6918284296989441,0.05816962197422981,0.2324213981628418,0.29837340116500854,4.684329509735107
8,0.8,0.2,input_at,0,68,0.00618977565318346,68,0.3799961507320404,0.018120527267456055,0.23166342079639435,0.3005690276622772,4.739100933074951
8,0.8,0.2,input_at,0,69,0.005570797715336084,69,1.0811408758163452,0.12072262167930603,0.20599746704101562,0.31157028675079346,4.655429840087891
8,0.8,0.2,input_at,0,71,0.004512345883995295,71,0.3104122281074524,0.012515227310359478,0.2123650163412094,0.30998650193214417,4.674797058105469
8,0.8,0.2,input_at,0,72,0.004061111249029636,72,0.6210963129997253,0.05211687833070755,0.17642338573932648,0.30444997549057007,4.7013654708862305
8,0.8,0.2,input_at,0,73,0.003654999891296029,73,1.6505210399627686,0.26780733466148376,0.18712089955806732,0.29603299498558044,4.722461700439453
8,0.8,0.2,input_at,0,74,0.003289500018581748,74,0.5140339136123657,0.0374419279396534,0.18511337041854858,0.3002583682537079,4.625940322875977
8,0.8,0.2,input_at,0,75,0.0029605496674776077,75,0.4400610029697418,0.02637634240090847,0.17863400280475616,0.31429538130760193,4.64700984954834
8,0.8,0.2,input_at,0,77,0.0023980452679097652,77,0.6916214823722839,0.07402446866035461,0.2468005269765854,0.3011733293533325,4.690361976623535
8,0.8,0.2,input_at,0,78,0.0021582406479865313,78,0.7025255560874939,0.05965781584382057,0.22083336114883423,0.30015912652015686,4.6940836906433105
8,0.8,0.2,input_at,0,79,0.0019424165366217494,79,0.6075526475906372,0.04137181118130684,0.25111979246139526,0.3018540143966675,4.6335272789001465
8,0.8,0.2,input_at,1,0,8.001750946044922,0,1.1748111248016357,0.8910349607467651,0.01636350527405739,0.3817644417285919,4.890930652618408
8,0.8,0.2,input_at,1,1,7.201575756072998,1,1.7129117250442505,0.5821667909622192,0.20092186331748962,0.3413572609424591,5.4428534507751465
8,0.8,0.2,input_at,1,2,6.481417655944824,2,1.0821270942687988,0.919039249420166,0.004708168096840382,0.4297114908695221,4.256211280822754
8,0.8,0.2,input_at,1,3,5.83327579498291,3,0.8500002026557922,0.16410699486732483,0.31570863723754883,0.27135583758354187,6.6753058433532715
8,0.8,0.2,input_at,1,4,5.249948024749756,4,1.213322639465332,0.6621878743171692,0.0533529594540596,0.42558804154396057,4.340113162994385
8,0.8,0.2,input_at,1,6,4.252457618713379,6,0.3662731349468231,0.041195616126060486,0.07872126996517181,0.21642474830150604,7.456796169281006
