n_over_m,sparsity,condition,seed,feature,w_norm,I_i,D_i,self_drop,collateral,n_represented
2,0.8,baseline,3,5,1.344892978668213,0.057039570063352585,0.5023168921470642,0.9942989945411682,0.056508224457502365,18
2,0.8,baseline,3,6,1.39093816280365,0.05622642859816551,0.48936593532562256,1.0047483444213867,0.05790441855788231,18
2,0.8,baseline,3,7,1.3870173692703247,0.05630205199122429,0.486206978559494,0.9873788952827454,0.0587894506752491,18
2,0.8,baseline,3,8,1.4352531433105469,0.08223026990890503,0.4445900321006775,1.0271873474121094,0.060274116694927216,18
2,0.8,baseline,3,9,1.4407368898391724,0.09081295132637024,0.4328985810279846,1.0766371488571167,0.061576150357723236,18
2,0.8,baseline,3,10,1.5354291200637817,0.06581821292638779,0.47782468795776367,1.017883539199829,0.05761006847023964,18
2,0.8,baseline,3,11,1.4007090330123901,0.08439328521490097,0.38932323455810547,1.1376405954360962,0.06672166287899017,18
2,0.8,baseline,3,12,1.3840593099594116,0.0842532142996788,0.38037848472595215,1.1338239908218384,0.06734622269868851,18
2,0.8,baseline,3,13,1.489145278930664,0.07634669542312622,0.4279007315635681,1.0548124313354492,0.061810221523046494,18
2,0.8,baseline,3,14,1.2848238945007324,0.057076070457696915,0.458279550075531,0.9651139974594116,0.058184314519166946,18
2,0.8,baseline,3,15,1.3946245908737183,0.09103033691644669,0.40508416295051575,1.0470950603485107,0.06317267566919327,18
2,0.8,baseline,3,16,1.493617057800293,0.06580439954996109,0.4520578980445862,0.9826839566230774,0.05967995524406433,18
2,0.8,baseline,3,19,1.4475830793380737,0.07628417760133743,0.4044012427330017,1.0481799840927124,0.06200675293803215,18
2,0.8,baseline,4,0,1.2285586595535278,0.05514025688171387,0.5061464309692383,1.0220201015472412,0.06119536608457565,17
2,0.8,baseline,4,1,1.3645129203796387,0.059146855026483536,0.5034134387969971,1.0293185710906982,0.063216432929039,17
2,0.8,baseline,4,2,1.232903003692627,0.05334410443902016,0.5021512508392334,1.0243360996246338,0.06380186975002289,17
