n,m,n_over_m,sparsity,condition,seed,feature,w_norm,represented,D_groundtruth,top1_evr,pr,r_set1,r_set2,sat_set1,sat_set2
40,10,4,0.99,input_at,4,19,1.3139595985412598,1,0.333617240190506,0.7719166874885559,1.6520309448242188,0.1114756390452385,0.40209534764289856,0.0,0.0
40,10,4,0.99,input_at,4,20,1.2076956033706665,1,0.3303070068359375,0.8042208552360535,1.5267620086669922,0.1239817813038826,0.48207566142082214,0.0,0.0
40,10,4,0.99,input_at,4,21,1.2272393703460693,1,0.3011017143726349,0.7258856892585754,1.829372525215149,0.1338588446378708,0.5149850845336914,0.0,0.0
40,10,4,0.99,input_at,4,22,1.2534393072128296,1,0.3318660259246826,0.8202574849128723,1.46943998336792,0.10945619642734528,0.4245881140232086,0.0,0.0
40,10,4,0.99,input_at,4,23,1.5720648765563965,1,0.344512015581131,0.872927188873291,1.3069556951522827,0.14720821380615234,0.40577080845832825,0.0,0.0
40,10,4,0.99,input_at,4,24,1.409449577331543,1,0.34062665700912476,0.8553065657615662,1.3588637113571167,0.1275838017463684,0.4502450227737427,0.0,0.0
40,10,4,0.99,input_at,4,25,1.352446436882019,1,0.3096464276313782,0.8118105530738831,1.4960896968841553,0.10704339295625687,0.43759843707084656,0.0,0.0
40,10,4,0.99,input_at,4,26,0.025086410343647003,0,0.00010066856339108199,0.3587908148765564,4.669876575469971,2.3278908729553223,2.3278908729553223,1.0,1.0
40,10,4,0.99,input_at,4,27,0.05092530697584152,0,0.0005051776533946395,0.2671763598918915,6.200167179107666,2.769301176071167,2.769301176071167,1.0,1.0
40,10,4,0.99,input_at,4,28,0.8952950835227966,1,0.14366649091243744,0.5189433097839355,3.080782175064087,0.2518443763256073,0.9711697697639465,0.0,0.0
40,10,4,0.99,input_at,4,29,0.030052950605750084,0,0.0001579965464770794,0.3074088394641876,5.20920991897583,2.7649223804473877,2.7649223804473877,1.0,1.0
40,10,4,0.99,input_at,4,30,0.0665123239159584,0,0.0008065775618888438,0.32498472929000854,5.544652938842773,4.209604740142822,4.209604740142822,1.0,1.0
40,10,4,0.99,input_at,4,31,0.03836839273571968,0,0.0002294606383657083,0.23377369344234467,6.387608528137207,3.8638744354248047,3.8638744354248047,1.0,1.0
40,10,4,0.99,input_at,4,32,0.03605358302593231,0,0.00024328462313860655,0.34087061882019043,4.72000789642334,2.9101829528808594,2.9101829528808594,1.0,1.0
