n,m,n_over_m,sparsity,condition,seed,recon_fvu,interference,sae_fvu_clean,sae_fvu_adv,sae_l0_clean,sae_l0_adv,sae_mono,sae_k,sae_dict,mean_D
40,10,4,0.8,lat,1,0.23431632932937227,0.14244109392166138,0.014049855060875416,0.014778509736061096,7.9996337890625,7.999755859375,0.8225021362304688,8,160,0.23507258296012878
40,10,4,0.8,lat,2,0.24143815705555824,0.19618558883666992,0.004702469799667597,0.005038954317569733,7.9925537109375,7.993896484375,0.8736991882324219,8,160,0.24851027131080627
40,10,4,0.8,lat,3,0.24228111484359047,0.1875901222229004,0.00481159845367074,0.0054895905777812,7.9996337890625,7.9998779296875,0.8809564709663391,8,160,0.2420932948589325
40,10,4,0.8,lat,4,0.22045109109473884,0.1162046268582344,0.01167235802859068,0.013033215887844563,8.0,8.0,0.8100211024284363,8,160,0.24863359332084656
40,10,4,0.9,baseline,0,0.15576971657047717,0.15280088782310486,0.012223349884152412,0.017709245905280113,3.9996337890625,3.99951171875,0.8800880312919617,4,160,0.2227603644132614
40,10,4,0.9,baseline,1,0.16587234317324678,0.1672695279121399,0.021371064707636833,0.02659568190574646,4.0,4.0,0.8992134928703308,4,160,0.2232322245836258
40,10,4,0.9,baseline,2,0.15356495876316903,0.125935897231102,0.011273959651589394,0.01603967696428299,3.9998779296875,4.0,0.8896158933639526,4,160,0.2239198386669159
40,10,4,0.9,baseline,3,0.16395420254113685,0.1471095234155655,0.021494640037417412,0.026987655088305473,3.9976806640625,3.9996337890625,0.8625421524047852,4,160,0.2281518429517746
40,10,4,0.9,baseline,4,0.15859616868140589,0.10747440904378891,0.03006560727953911,0.03378979489207268,3.9991455078125,3.9986572265625,0.8981524705886841,4,160,0.23211076855659485
40,10,4,0.9,input_at,0,0.18091170629207107,0.3293454945087433,0.010547212325036526,0.01576407626271248,4.0,4.0,0.9793527722358704,4,160,0.21847784519195557
40,10,4,0.9,input_at,1,0.18959860981446772,0.23746144771575928,0.014028564095497131,0.01569737121462822,4.0,4.0,0.9242828488349915,4,160,0.22600968182086945
40,10,4,0.9,input_at,2,0.17868920517384163,0.33274751901626587,0.009370078332722187,0.013065348379313946,4.0,4.0,0.9212468862533569,4,160,0.22963008284568787
40,10,4,0.9,input_at,3,0.17557789126810402,0.2522040009498596,0.00987308006733656,0.015195321291685104,4.0,4.0,0.9392701983451843,4,160,0.22304800152778625
40,10,4,0.9,input_at,4,0.17777779905297061,0.25455665588378906,0.010355901904404163,0.012478817254304886,4.0,4.0,0.9010284543037415,4,160,0.2327968329191208
40,10,4,0.9,lat,0,0.15519269748159598,0.09539563953876495,0.01039005909115076,0.011615552939474583,4.0,4.0,0.8721114993095398,4,160,0.23212246596813202
40,10,4,0.9,lat,1,0.16947589125667623,0.10489775985479355,0.011436105705797672,0.013033078983426094,4.0,4.0,0.8968036770820618,4,160,0.23579056560993195
40,10,4,0.9,lat,2,0.166453024522925,0.13950392603874207,0.010388136841356754,0.011329056695103645,3.9998779296875,4.0,0.9149136543273926,4,160,0.23755225539207458
40,10,4,0.9,lat,3,0.17276650747010444,0.12408822774887085,0.02421949990093708,0.02625013142824173,3.98974609375,3.9957275390625,0.9275461435317993,4,160,0.23778977990150452
40,10,4,0.9,lat,4,0.1590734426227601,0.11604152619838715,0.00878541637212038,0.010464627295732498,4.0,4.0,0.9068783521652222,4,160,0.2407234013080597
40,10,4,0.99,baseline,0,0.06287058170164558,0.09619063138961792,0.05781039595603943,0.06884733587503433,1.0,1.0,0.9986678957939148,1,160,0.22176890075206757
40,10,4,0.99,baseline,1,0.055686130630644454,0.09280220419168472,0.08536437153816223,0.09491269290447235,1.0,1.0,0.9775609970092773,1,160,0.22719717025756836
40,10,4,0.99,baseline,2,0.06149347151874694,0.09371316432952881,0.06362356245517731,0.07494176179170609,1.0,1.0,0.9975873827934265,1,160,0.223735973238945
40,10,4,0.99,baseline,3,0.04938566328885576,0.09165022522211075,0.05212869122624397,0.06130106747150421,1.0,1.0,0.9975910186767578,1,160,0.22259362041950226
40,10,4,0.99,baseline,4,0.0497495170057579,0.08711498975753784,0.0825611799955368,0.09279819577932358,1.0,1.0,0.9827213287353516,1,160,0.23934677243232727
40,10,4,0.99,input_at,0,0.07882168092691129,0.09726744145154953,0.04498940706253052,0.053752221167087555,1.0,1.0,0.9497001767158508,1,160,0.23025545477867126
40,10,4,0.99,input_at,1,0.07101839660533495,0.09888533502817154,0.045305605977773666,0.05604565516114235,1.0,1.0,0.9631820917129517,1,160,0.22862939536571503
40,10,4,0.99,input_at,2,0.08057400859304747,0.10690014064311981,0.044988904148340225,0.05586579814553261,1.0,1.0,0.9601505994796753,1,160,0.22808881103992462
40,10,4,0.99,input_at,3,0.0705639865714649,0.09350568056106567,0.035145848989486694,0.04323543235659599,1.0,1.0,0.9534488916397095,1,160,0.228425532579422
40,10,4,0.99,input_at,4,0.07452592047277364,0.14876970648765564,0.03282853588461876,0.0429086834192276,1.0,1.0,0.9354300498962402,1,160,0.22889184951782227
40,10,4,0.99,lat,0,0.06702445384971208,0.08750154823064804,0.04665167257189751,0.06130030378699303,1.0,1.0,0.977611243724823,1,160,0.2385394275188446
40,10,4,0.99,lat,1,0.06443005805187937,0.09517092257738113,0.08105695247650146,0.08759791404008865,1.0,1.0,0.9548923373222351,1,160,0.2351793497800827
40,10,4,0.99,lat,2,0.06453682409692618,0.0906977504491806,0.05041544511914253,0.0607638917863369,1.0,1.0,0.9889259338378906,1,160,0.23687875270843506
40,10,4,0.99,lat,3,0.05801753170495998,0.08996881544589996,0.043985843658447266,0.055483561009168625,1.0,1.0,0.9787208437919617,1,160,0.2324841469526291
40,10,4,0.99,lat,4,0.05786190397929873,0.08500254899263382,0.05224863812327385,0.061556506901979446,1.0,1.0,0.9756463766098022,1,160,0.24498632550239563
80,10,8,0.8,baseline,0,0.24649744260705217,0.3449726998806,0.007156204432249069,0.012739810161292553,15.9617919921875,15.95703125,0.7965813875198364,16,320,0.10925308614969254
80,10,8,0.8,baseline,1,0.2476979425441779,0.2899192273616791,0.007518663536757231,0.01027262955904007,15.9078369140625,15.9149169921875,0.8283246159553528,16,320,0.10729316622018814
80,10,8,0.8,baseline,2,0.2619048589277822,0.484720379114151,0.006943204905837774,0.010916534811258316,15.96875,15.97119140625,0.795821487903595,16,320,0.10314204543828964
80,10,8,0.8,baseline,3,0.2511199119463394,0.17800955474376678,0.005059081595391035,0.00935174711048603,15.97607421875,15.9757080078125,0.8191258311271667,16,320,0.11398132890462875
